file,seq_len_bp,n_orfs,orfs_per_kb,mean_cai_percent,n_nonstandard_start_orfs,pct_nonstandard_start_orfs,seq_shannon_entropy,seq_repeat_count,seq_repeat_fraction
0247_Chelsea_Lately.fasta,4024,6,1.491,47.81,6,100.0,1.9353,3222,0.8017
0248_Carlos_Westendorp.fasta,1361,1,0.735,57.01,0,0.0,1.9546,753,0.5553
0249_Blue_blanquillo.fasta,1427,2,1.402,52.79,2,100.0,1.9597,959,0.6744
0250_Alfred_Sant.fasta,955,1,1.047,54.18,1,100.0,1.9757,400,0.4211
0251_James_V._Stanton.fasta,350,0,0.000,,0,,1.9462,130,0.3768
0252_Super_League_Greece.fasta,851,2,2.350,52.13,2,100.0,1.9235,458,0.5414
0253_Ivo_Niederle.fasta,4712,4,0.849,53.62,2,50.0,1.9636,3652,0.7759
0254_Werner_Gregoritsch.fasta,1496,1,0.668,46.76,1,100.0,1.9608,952,0.6385
0255_Aurel_Vainer.fasta,1623,1,0.616,57.21,1,100.0,1.9555,940,0.5810
0256_Le_Lac-d_Issarl_s.fasta,1268,0,0.000,,0,,1.9784,698,0.5527
